Nazwa;X;Y;Z
Punkt_1_Plot;7528446.914;5782706.526;151.766
Punkt_2_Kapliczka;7528482.524;5782688.122;153.730
Punkt_3_Antena;7528441.100;5782658.491;161.033
Punkt_4_Komin;7528465.622;5782711.865;157.389
Punkt_4_Dach;7528503.279;5782738.407;155.252
Punkt_4_Slup;7528461.020;5782686.470;160.766
